Re Mach Density Velocity Diameter
400.0 3.0 4.635906156474909 762.4433988134482 2.051707994460659
400.0 3.5 5.119429074569064 919.016596784067 1.5413913246353417
400.0 4.0 5.491149227720016 1072.1860295814115 1.231755201800803
400.0 4.5 5.778824690194871 1223.0862855965731 1.0260326461027494
400.0 5.0 6.003808387984333 1372.3981178642068 0.8801381749110337
400.0 5.5 6.181881162459345 1520.5547328609107 0.7714984998916449
400.0 6.0 6.324555800649839 1667.8449349044179 0.6874990405280167
400.0 6.5 6.440230499465718 1814.4686654454656 0.6205930555217513
500.0 3.0 4.635906156474909 762.4433988134482 2.5646349930758237
500.0 3.5 5.119429074569064 919.016596784067 1.9267391557941769
500.0 4.0 5.491149227720016 1072.1860295814115 1.5396940022510035
500.0 4.5 5.778824690194871 1223.0862855965731 1.2825408076284366
500.0 5.0 6.003808387984333 1372.3981178642068 1.1001727186387922
500.0 5.5 6.181881162459345 1520.5547328609107 0.964373124864556
500.0 6.0 6.324555800649839 1667.8449349044179 0.8593738006600208
500.0 6.5 6.440230499465718 1814.4686654454656 0.775741319402189
600.0 3.0 4.635906156474909 762.4433988134482 3.077561991690988
600.0 3.5 5.119429074569064 919.016596784067 2.312086986953012
600.0 4.0 5.491149227720016 1072.1860295814115 1.8476328027012041
600.0 4.5 5.778824690194871 1223.0862855965731 1.5390489691541238
600.0 5.0 6.003808387984333 1372.3981178642068 1.3202072623665506
600.0 5.5 6.181881162459345 1520.5547328609107 1.1572477498374671
600.0 6.0 6.324555800649839 1667.8449349044179 1.031248560792025
600.0 6.5 6.440230499465718 1814.4686654454656 0.9308895832826268
700.0 3.0 4.635906156474909 762.4433988134482 3.5904889903061528
700.0 3.5 5.119429074569064 919.016596784067 2.6974348181118475
700.0 4.0 5.491149227720016 1072.1860295814115 2.155571603151405
700.0 4.5 5.778824690194871 1223.0862855965731 1.7955571306798113
700.0 5.0 6.003808387984333 1372.3981178642068 1.5402418060943088
700.0 5.5 6.181881162459345 1520.5547328609107 1.3501223748103783
700.0 6.0 6.324555800649839 1667.8449349044179 1.203123320924029
700.0 6.5 6.440230499465718 1814.4686654454656 1.0860378471630647
800.0 3.0 4.635906156474909 762.4433988134482 4.103415988921318
800.0 3.5 5.119429074569064 919.016596784067 3.0827826492706834
800.0 4.0 5.491149227720016 1072.1860295814115 2.463510403601606
800.0 4.5 5.778824690194871 1223.0862855965731 2.0520652922054987
800.0 5.0 6.003808387984333 1372.3981178642068 1.7602763498220675
800.0 5.5 6.181881162459345 1520.5547328609107 1.5429969997832897
800.0 6.0 6.324555800649839 1667.8449349044179 1.3749980810560334
800.0 6.5 6.440230499465718 1814.4686654454656 1.2411861110435025
900.0 3.0 4.635906156474909 762.4433988134482 4.616342987536483
900.0 3.5 5.119429074569064 919.016596784067 3.4681304804295188
900.0 4.0 5.491149227720016 1072.1860295814115 2.7714492040518066
900.0 4.5 5.778824690194871 1223.0862855965731 2.308573453731186
900.0 5.0 6.003808387984333 1372.3981178642068 1.980310893549826
900.0 5.5 6.181881162459345 1520.5547328609107 1.735871624756201
900.0 6.0 6.324555800649839 1667.8449349044179 1.5468728411880375
900.0 6.5 6.440230499465718 1814.4686654454656 1.3963343749239403
1000.0 3.0 4.635906156474909 762.4433988134482 5.129269986151647
1000.0 3.5 5.119429074569064 919.016596784067 3.8534783115883537
1000.0 4.0 5.491149227720016 1072.1860295814115 3.079388004502007
1000.0 4.5 5.778824690194871 1223.0862855965731 2.565081615256873
1000.0 5.0 6.003808387984333 1372.3981178642068 2.2003454372775844
1000.0 5.5 6.181881162459345 1520.5547328609107 1.928746249729112
1000.0 6.0 6.324555800649839 1667.8449349044179 1.7187476013200416
1000.0 6.5 6.440230499465718 1814.4686654454656 1.551482638804378
1100.0 3.0 4.635906156474909 762.4433988134482 5.642196984766812
1100.0 3.5 5.119429074569064 919.016596784067 4.23882614274719
1100.0 4.0 5.491149227720016 1072.1860295814115 3.3873268049522083
1100.0 4.5 5.778824690194871 1223.0862855965731 2.821589776782561
1100.0 5.0 6.003808387984333 1372.3981178642068 2.4203799810053432
1100.0 5.5 6.181881162459345 1520.5547328609107 2.1216208747020233
1100.0 6.0 6.324555800649839 1667.8449349044179 1.8906223614520459
1100.0 6.5 6.440230499465718 1814.4686654454656 1.706630902684816
